place_id,offer,name,category,locality,phone,maps_url,social_url,website_status,rating,review_count,score,grade,status,mockup_url,date_found,date_contacted,next_action_date,notes
ChIJh9VGpl8NSUcR1PPO69vNm8Q,A,Agrofarm Marius,magazin furaje,Baciu Cluj,0770 202 324,https://maps.google.com/?cid=14167143397261767636&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/profile.php?id=100081438834159,social_only,5,9,13,A,BUILT,https://calinbotean.github.io/prospector-mockups/mockups/agrofarm-marius/,2026-08-13,,,"Weekly-3 pick (2026-08-13 qualify session). Verified: no real website found via web search; phone is 07xx mobile format (WhatsApp-capable). Listing data pulled live via Places API: businessStatus=OPERATIONAL, rating=5.0, review_count=9, address=Strada București 79, ap. 33, parter, Cluj-Napoca, hours L-V 9:00-18:00 and S 9:00-13:00. Rebuilt 2026-08-14 against documented magazin furaje shell (greenhouse/maize/fitosanitary label palette; Roboto Slab + Barlow Condensed + Inter). Places API returned 1 real photo and 5 reviews; included 1 real photo and 3 faithful review excerpts. No hosting/demo subdomain configured yet -- mockup_url points to the local file pending deployment before outreach. No outreach started; awaiting review. Refined 2026-08-14: replaced generic proof copy with direct Florica M. Google review excerpt; added high-end scroll rhythm, intentional real-photo framing, unified radius/shadow system, and one lightweight section-entry reveal. Logo prompt prepared; no generated logo inserted yet pending watermarked asset. No outreach started. Refined 2026-08-14: changed map CTA wording from traseu to harta/Hartă, added real header anchor nav (Produse, De ce noi, Recenzii, Contact), and reordered the mobile hero so the real shop photo appears immediately after the headline. Desktop/mobile screenshots and 360px QA passed. No outreach started. Final polish 2026-08-14: added watermarked demo logo in header; made hero product tags real anchors to product cards; updated rating/hours badges, unified accent-line treatment, rewrote trust framing as customer value props, and added a visible Google Maps fallback for restricted in-app browsers. Desktop/mobile screenshots and restricted iframe-block map QA passed. No outreach started. Logo placement polish 2026-08-14: moved watermarked demo logo from header into hero at a larger legible size, restored text-only header brand, and regenerated the watermark as a subtler corner ribbon while keeping DEMO protection visible. Desktop and 360px mobile hero QA passed. No outreach started. Alignment/nav polish 2026-08-14: centered mobile hero logo, replaced mobile inline nav with collapsed hamburger/dropdown links, corrected wide desktop products grid to a clean five-card row, and reran full-page desktop/mobile alignment QA. No outreach started. Tailwind/type polish 2026-08-14: adopted Tailwind CDN utilities for layout/spacing/alignment, forced hero H1 to two deliberate centered lines, added balanced wrapping for multi-line copy, and documented Tailwind as the future mockup standard. Desktop/mobile rendered QA passed. No outreach started. Mobile hero bugfix 2026-08-14: aligned the hero logo/H1 lockup, hardened the dark-green hero background on mobile so tags/facts stay readable, replaced the tiny mobile WhatsApp SVG with a WA text fallback, and verified 360px lower-hero/dropdown screenshots. No outreach started. Ledger correction 2026-08-14: mockup_url updated from local relative path to the live GitHub Pages URL; independently verified live (200 OK) with correct H1 and DEMO/noindex disclaimer."
ChIJA055VYJ1SUcRbYKjz9KGd1c,A,Sabo ITP & SERVICE,service auto,Apahida,0756 221 704,https://maps.google.com/?cid=6302654443513152109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/profile.php?id=61572422709396,social_only,4.7,102,13,A,BUILT,https://calinbotean.github.io/prospector-mockups/mockups/sabo-itp-service/,2026-08-13,,2026-08-13,"Weekly-3 pick (2026-08-13 qualify session). Verified: no real website found via web search; phone is 07xx mobile format (WhatsApp-capable); social_only leads' FB pages exist but not confirmed active by direct fetch (Facebook blocks scraping) -- reconfirm activity before first contact. Review quotes NOT pulled (not in Places Text Search response) -- Agent 3 must pull 2-3 quotes from live Maps listing during build. Built 2026-08-14 via Codex against the new service auto category shell (charcoal/racing-red/amber palette, Oswald display). Deployed to GitHub Pages; 360px mobile QA passed; independently verified live (200 OK) with correct H1, WhatsApp CTA to 0756 221 704, and DEMO/noindex disclaimer present. No outreach started. Revision requested 2026-08-14 (Calin, visual QA on live page): missing hero logo (no watermarked demo logo present), opening hours abbreviated illegibly (""L-V 08-20 \u00b7 Sb 08-14"" instead of full day names + colon-formatted times), and no photo/imagery in hero (neither real listing photo nor decorative trade imagery). Not ready for outreach; status reverted from BUILT to BUILDING pending fixes. Revision complete 2026-08-14: watermarked logo placed in hero, opening hours reconfirmed and reformatted in full, real hero photo (dusk auto bay, generic/decorative per integrity rules) replacing SVG placeholder, and a hero left-alignment CSS bug fixed (logo/kicker/H1/subline/buttons now share one left edge on desktop; mobile centering preserved). Independently verified live via cache-busted fetch and screenshot: correct H1, full-format hours, real photo, logo, WhatsApp CTA to 0756 221 704, DEMO/noindex disclaimer all present. Ready for outreach."
ChIJjdKZsb1qnmsRDc6EdUqFAs4,A,La Doi Pasi - OCRE Traian,magazin furaje,Cojocna,0743 477 094,https://maps.google.com/?cid=14844573876612288013&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/profile.php?id=61554654033007,social_only,4.5,11,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJ--rWCggPSUcR1AkROfIKDGI,A,Disco Service,service auto,Floresti Cluj,0748 229 277,https://maps.google.com/?cid=7065033950893246932&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/discoservicedr.z/,social_only,4.4,107,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJ_8chpB4PSUcRoccl9i_8ciA,A,GLL Service Gagyi SNC,service auto,Baciu Cluj,0742 786 778,https://maps.google.com/?cid=2338208439482042273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/gllservice/?fref=ts,social_only,4.9,88,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJZeUKu1cPSUcR67pHyjRszeg,A,#BimmerSystems,service auto,Baciu Cluj,0799 816 552,https://maps.google.com/?cid=16775183161012763371&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/BimmerSystems/,social_only,5,77,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJ_xZ76EMPSUcRpMYsIpjIY3E,A,Underground MotoService,service auto,Baciu Cluj,0751 048 933,https://maps.google.com/?cid=8170594704714155684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://facebook.com/ZoomyService,social_only,4.7,34,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJQezwj-8NSUcRBJUDWeJMqEI,A,T&M Garage,service auto,Apahida,0744 685 898,https://maps.google.com/?cid=4803173537630360836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/share/18SAsfSsCb/?mibextid=wwXIfr,social_only,5,7,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJrymTTUkLSUcRb8B0P9MVTSw,A,Jepo Service,service auto,Apahida,0740 135 737,https://maps.google.com/?cid=3192231707922448495&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/lahoreaservice,social_only,4.6,94,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
ChIJo9-1pWGfSUcRAtfgTfUchyM,A,MD AUTO STUDIO,service auto,Jucu,0757 174 398,https://maps.google.com/?cid=2560046753082562306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/share/1La67H2PWU/?mibextid=wwXIfr,social_only,5,14,12,A,NEW,,2026-08-13,,,"Extra A-lead from 2026-08-13 scan, held for a future week (WIP cap = 3 builds/week)."
